"","sentence","length"
"233","5.9 Further information about applying for compensation can be found at: www.gov.uk/claimcompensation criminal-injury, from the police, your local support service, or by contacting the Criminal Injuries Compensation Authority on: 0300 003 3601.[^30}",249
"234","5.10 Whilst it is outside of the scope of the Code, UK victims injured in terrorist attacks abroad may also be entitled to compensation through the Victims of Overseas Terrorism Compensation Scheme. Further information about applying for compensation can be found at: www.gov.uk/compensation-victim-terrorist-attack, or by contacting the Criminal Injuries Compensation Authority on: 0300 003 3601.[footnote 30]",410
"235","Civil (non-criminal) compensation",33
"236","5.11 It may be possible to seek compensation from the suspect or offender outside of the criminal justice process. If you want to consider applying for civil compensation, you should seek legal advice and assistance from a solicitor.",233
"237","Getting legal advice/assistance on claiming compensation",56
"238","5.12 If you need legal advice and/or assistance you should contact a solicitor. If you are on a low income or benefits you may be able to get Legal Aid to help cover the cost. More information on whether you are eligible for Legal Aid is available at: www.gov.uk/legal-aid",272
"239","5.13 To find a local solicitor you should contact the Law Society at: www.lawsociety.org.uk",91
"240","Right 6: To be provided with information about the investigation and prosecution",80
"241","6.1 You have the Right to be told by the police when key decisions on the investigation are made and, where applicable, to have the reasons explained to you within 5 working days (1 working day under Enhanced Rights) of a suspect being:",236
"242","• released on police bail or under investigation or if police bail conditions are changed or cancelled.",103
"243","6.2 If the police decide not to investigate your case, you will be given an explanation of this decision within 5 working days (1 working day under Enhanced Rights). The police will also offer you a referral to a support service.",229
"244","6.3 Where the police do investigate your case, they will discuss with you how often you would like to receive updates and your preferred method of contact. You can update your preferences at any time.",200
"245","6.4 The investigation and decision on whether the case should go to court can take a long time and there may be long periods between key decisions. The police will discuss with you if you would like contact during this time and provide you with contact details if you have any questions during the investigation.",312
"246","6.5 There may be times when a service provider is unable to provide you with updates and/or use your preferred method of contact, but in these instances, they will tell you why.",177
"247","6.6 In some cases, the police or the Crown Prosecution Service may decide to deal with the case without taking it to court. This is called an out of court disposal.[footnote 31] This enables the incident to be dealt with relatively quickly and may prove more effective in preventing further offences.",300
"248","6.7 Where the police or the Crown Prosecution Service are considering an out of court disposal you have the Right to be asked for your views and to have these views taken into account when a decision is made. Where this is not possible for practical reasons, the police or the Crown Prosecution Service will tell you why",320
"249","6.8 The police or the Crown Prosecution Service will take the final decision after considering the full circumstances of the offence and your views. You have the Right to be told the reasons for their decision within 5 working days (1 working day under Enhanced Rights) of an out of court disposal being given to the offender.",326
"250","6.9 When the police have finished their investigation, they may decide what should happen next or, for more serious crimes, pass the information to the Crown Prosecution Service, who will then decide if there is enough evidence to take the case to court.",254
"251","6.10 If the police or the Crown Prosecution Service decide not to prosecute the suspect, you have the Right to be told within 5 working days (1 working day under Enhanced Rights) of the decision of:",198
"252","• the reasons for the decision;",31
"253","• how you can get further information;",38
"254","• how to seek a review and make representations under the National Police Chiefs’ Council or the Crown Prosecution Service Victims’ Right to Review scheme[footnote 32]; and",172
"255","• how to be referred to a support service.",42
"256","6.11 If you are unhappy with a police or a Crown Prosecution Service decision not to prosecute the suspect, you have the Right to ask for a review under the National Police Chiefs’ Council or Crown Prosecution Service Victims’ Right to Review schemes.",251
"257","What is the Victims’ Right to Review Scheme?",44
"258","The Victims’ Right to Review Scheme gives victims of crime a Right to request a review of a police or Crown Prosecution Service decision not to prosecute, or to stop the case.",175
"259","The Victims’ Right to Review Scheme gives victims the Right to ask for a review of a police decision not to prosecute33 a suspect. This applies to cases in which a suspect has been identified and interviewed under caution, either after an arrest or voluntarily. You have the Right to request a review if the police decide:",322
"260","• not to bring proceedings in cases where they have authority to charge; or where",81
"261","• the case doesn’t meet the test for referring the matter to the Crown Prosecution Service for a charging decision.",115
"262","The Victims’ Right to Review Scheme gives victims the Right to seek a review of a Crown Prosecution Service decision not to bring charges or to terminate all proceedings. Under the scheme you can seek a review of the following decisions:",237
"263","• to discontinue (or withdraw in the Magistrates’ Court) all charges, thereby ending all proceedings;",101
"264","• to offer no evidence in all proceedings; or",45
"265","• to leave all charges in the proceedings to ‘lie on the file’ (this is the term used in circumstances where the Crown Prosecution Service makes a decision not to proceed and requests that the charges be allowed ‘to lie on the file’ marked ‘not to be proceeded with without the leave of this Court or the Court of Appeal’).",323
"266","6.12 If you are a victim in a specified case[footnote 34] where the Crown Prosecution Service tells you of a decision not to charge a suspect, you have the Right to be offered a meeting unless the Crown Prosecution Service decides that a meeting should not take place. On the rare occasions where the Crown Prosecution Service decide that a meeting is not appropriate, this decision will be explained to you.",408
"267","6.13 If the suspect is charged with an offence(s), you have the Right to be told by the police within 5 working days (1 working day under Enhanced Rights) of:",158
"268","• the offence they are charged with;",36
"269","• the date, time and location of the first court hearing; and",61
"270","• where the suspect is released on police bail to appear in court, any bail conditions and any changes to these bail conditions.",128
"271","6.14 If you are a bereaved close relative in a qualifying case[footnote 35] you have the Right to be offered a meeting with the Crown Prosecution Service prior to or following a decision about whether or not to charge a suspect. If a decision is made to charge, the Crown Prosecution Service will explain how the case is likely to progress and answer any questions that you may have. The Crown Prosecution Service will also discuss your needs and jointly agree how regularly you will receive updates.",500
"272","6.15 If, after the suspect has been charged with an offence(s), the Crown Prosecution Service decides to stop a charge and proceed with another, make a big change to a charge or stop the case, you have the Right to be told the reason why and, where the decision is to stop the case, how to ask for a review under the Crown Prosecution Services’ Victims’ Right to Review Scheme, if you disagree with their decision.",414
"273","Right 7: To make a Victim Personal Statement",44
"274","7.1 You have the Right to make a Victim Personal Statement to explain in your own words how a crime has affected you, whether physically, emotionally, financially or in any other way. This is different from a witness statement. The Victim Personal Statement is considered by the judge or magistrate when determining what sentence the defendant should receive and can also help service providers to consider what additional support you and/or your family may require.",466
"275","7.2 If you are a bereaved close relative, you have the Right to make a Victim Personal Statement and the Right to have someone with you when you do so, regardless of whether you have made a witness statement.",208
"276","7.3 To help you decide whether you wish to make one, you have the Right to be provided with information about the Victim Personal Statement process by the police when reporting a crime. If you decide to make a personal statement, you will be asked for your preference about whether you would like to read your statement aloud in court or to have it read on your behalf. You can also request a copy from the police and will be given an opportunity to make an additional personal statement to reflect the changing impact of the crime.",532
"277","7.4 If the defendant pleads guilty, or is found guilty, and you have asked that your statement is read aloud (or played) in court, the judge or magistrate will decide whether and what sections of your personal statement should be read aloud (or played), and who should read it. The judge or magistrate will always take your preference into account when making their decision, unless there is good reason not to do so. The Witness Care Unit will let you know the judge’s or magistrates’ decision.",495
"278","7.5 You do not have to read your Victim Personal Statement yourself or have it read on your behalf. If at first you choose to have your personal statement read aloud but later decide you do not want this, you can change your mind. Your personal statement will be considered by the judge or magistrate in the same way, whether or not it is read (or played) aloud in court.",371
"279","7.6 In addition to the named point of contact for a business being able to make a Victim Personal Statement, businesses of all sizes can make an Impact Statement for Business. This is similar to a Victim Personal Statement and will be used in the same way in court, but allows the business to explain how a crime has affected it, such as direct financial loss, operational disruption or reputational damage.",407
"280","7.7 The named point of contact has the Right to be provided information about the Impact Statement for Business process by the police when reporting the crime, to help them decide whether the business wishes to make one.",220
"281","7.8 Further information about the Victim Personal Statement and Business Impact Statement process is available from the police and at: www.gov.uk/government/publications/victimpersonal-statement",194
"282","When can I make a Victim Personal Statement?",44
"283","You can make a Victim Personal Statement at any time prior to sentencing of the offender, however you may not have an opportunity to make it once the court hearing has started, especially if the defendant pleads guilty. For many victims, the best time to make a Victim Personal Statement is when they are told that the suspect has been charged and the full impact of the crime may be clearer. The police may still ask for details of the initial impact when conducting your needs assessment or taking your witness statement.",523
"284","Can I change my mind or update my Victim Personal Statement?",60
"285","Once you have made a Victim Personal Statement, it becomes part of the court papers and you cannot withdraw or change it. However, if you remember something important, or feel that the impact of the crime on you has changed, you may make another statement.",256
"286","Will the defendant be able to see my Victim Personal Statement?",63
"287","If the case reaches court, the defendant will usually be allowed to read your personal statement. As with other evidence, if the court agrees it is relevant to the case, the defence can ask you questions about the contents of your personal statement. If your statement is read aloud in court, what is said could be reported by the media.",337
"288","Further questions or help recording your Victim Personal Statement",66
"289","If you have questions about making a Victim Personal Statement, how it will be used or what to include, you can speak with the police, Witness Care Unit or a support service for victims of crime. They can also help you to record it.",232
"290","Victim Personal Statements in parole hearings or tariff review[footnote 36] hearings",84
"291","7.9 You can ask that your original Victim Personal Statement be used at tariff review hearings and at Parole Board hearings. However, you are entitled to write a new Victim Personal Statement for these hearings, where you are able explain how the crime continues to affect you and/or your family, and the impact that any outcome at one of these hearings may have on you. Different rules apply to a Victim Personal Statement made to the Parole Board, (see Right 11).",465
"292","Right 8: To be given information about the trial, trial process and your role as a witness",90
"293","8.1 If the case goes to court, you have the Right to be told by the Witness Care Unit within 5 working days (1 working day under Enhanced Rights) of them receiving the information from the court, which will be within 5 working days of the outcome of the relevant hearing:",271
"294","• the time, date and location of any hearing (within 1 working day for all victims);",84
"295","• the outcome of any bail hearing (and relevant bail conditions, any relevant changes to these bail conditions and the reasons for those changes);",146
"296","• if an arrest warrant has been issued for the suspect and the outcome of a hearing if the suspect is re-arrested; and",118
"297","• the outcome of any hearing if the suspect has been re-arrested.",65
"298","8.2 If the suspect pleads not guilty and you are required to attend court, you have the Right to:",97
"299","• be told by the Witness Care Unit if you are required to give evidence within 1 working day (for all victims) of them receiving the information from the Crown Prosecution Service;",180
"300","• have your needs assessed and be offered a referral to a witness support service who can arrange a visit to the court before the trial date to familiarise yourself with the building, or another support service (see Right 4); and",229
"301","• be told of the outcome of any special measures application (see Right 4).",75
"302","8.3 If you are required to give evidence, you will be able to refresh your memory by reading (or watching where it has been recorded) your witness statement. Where possible, if the court allows, the prosecutor will meet you before you go into court to explain what will happen and answer any questions you may have.",315
"303","8.4 If you are a bereaved close relative, you have the Right to request, from your Family Liaison Officer or Witness Care Unit, a visit to the court before the trial date to familiarise yourself with the building, regardless of whether you are required to give evidence. You also have the Right to be offered a meeting with the Crown Prosecution Service prosecutor or advocate who will be presenting the case in court. This meeting will usually take place shortly before the trial and is an opportunity for you to be introduced and to ask any questions that you may have.",571
"304","8.5 When attending court, and where possible, you will be able to enter through a different entrance to the defendant and wait in a separate waiting area before and after your case has been heard. Some court buildings do not currently have separate entrances for victims, however, where informed, Her Majesty’s Courts and Tribunals Service staff will make arrangements to ensure that you do not have to see the defendant on arrival.",432
"305","8.6 During the trial, you may have to wait to give evidence, Her Majesty’s Courts and Tribunals Service court staff will give you a contact point at the court (who may be a member of a witness support service) to keep you updated on the progress of the trial and they or the Crown Prosecution Service prosecutor or advocate will tell you how long you will likely need to wait.",376
"306","8.7 Sometimes you may need to come back to court on another day, if this happens, Her Majesty’s Courts and Tribunals Service court staff or the Crown Prosecution Service prosecutor or advocate will tell you why.",211
"307","Having to attend court can be a worrying experience for any victim. However, you will be contacted by the Witness Care Unit before the trial. As well as providing the Rights listed in paragraphs 8.1, 8.2 and 8.4, they can also provide practical guidance and advice to help you. This includes:",292
"308","• being told about what to expect in court and answer any questions you might have about the court process;",107
"309","• if the victim is under 18, being given information for young witnesses;",73
"310","• being offered help with directions to the court and planning and/or arranging travel or accommodation;",104
"311","• being offered help arranging child care or additional support to allow you to attend court;",93
"312","• being given information about claiming witness expenses and allowances;",73
"313","• being referred to the Crown Prosecution Service, who will answer any questions you may have about the sentence which the Witness Care Unit is not able to answer; and",167
"314","• being offered a referral to services that support victims before, during or after you have attended court.",108
"315","Right 9: To be given information about the outcome of the case and any appeals",78
"316","9.1 At the end of the case, you have the Right to be told the outcome, including where available, a brief summary of reasons for the decision,[footnote 37] by the Witness Care Unit, within 1 working day of them receiving the information from the court, which will be within 5 working days of the outcome of the case.",316
"317","9.2 If the defendant is convicted (found guilty), you have the Right to be told the sentence they received, including a short explanation about the meaning and effect of the sentence, by the Witness Care Unit, within 1 working day of them receiving the information from the court, which will be within 5 working days of the outcome of the case. If you have any questions about the sentence which the Witness Care Unit are unable to answer, you have the Right to be referred to the Crown Prosecution Service, who will answer any questions which the Witness Care Unit is not able to answer.",588
"318","9.3 If you are a bereaved close relative, you have the Right to be offered a meeting with the Crown Prosecution Service:",120
"319","• following conviction, but before the sentencing hearing of the defendant, to confirm that a Victim Personal Statement has been made or to confirm that it is up to date (this meeting will usually take place at court);",218
"320","• following the sentencing hearing to explain the sentence given (this meeting will usually take place at court);",113
"321","• in cases where the defendant is found not guilty or is convicted of a less serious charge the offer of a meeting will be made a few weeks after the case has concluded, unless the Crown Prosecution Service decide that this is inappropriate. On the rare occasions where they decide that a meeting is not appropriate, this decision will be explained to you. The actual timing of the meeting will be informed by the wishes of the family and you will be contacted to discuss when it should take place; and",502
"322","• in a murder case where all defendants are found not guilty of all charges, the police and Crown Prosecution Service will follow the process set out in the National Standards of Support for bereaved families. The National Standards of Support are available on the Crown Prosecution Service website at: www.cps.gov.uk and a copy is provided by the police to bereaved families as part of the police bereavement pack.",415
"323","If you think the sentence given to the offender is far too low",62
"324","9.4 For some (but not all) cases sentenced in the Crown Court you can ask[footnote 38] the Attorney General[footnote 39] to refer the sentence to the Court of Appeal to reconsider it. This can only be done if the Attorney General thinks that the sentence was not just lenient but ‘unduly lenient’,[footnote 40] such that the sentencing judge made a gross error or imposed a sentence outside the range of sentences reasonably available in the circumstances of the case.",468
"325","9.5 If the Attorney General considers that the sentence meets the standard of being ‘unduly lenient’, the case is referred to the Court of Appeal. The Attorney General must consider the matter as soon as possible after sentence and no later than the 28th calendar day after the sentence was imposed (in business hours and with sufficient time for consideration). If the Court of Appeal agrees, it may increase the sentence.",423
"326","9.6 The Witness Care Unit will tell you about the scheme, when you are told the sentence in the case.",101
"327","9.7 Sometimes the offender will ask the court to look at the case or the sentence again. This is called an appeal. What will happen next will depend on whether the offender is allowed to appeal and if so, the outcome of that appeal.",232
"328","If an application is made to the Crown Court to appeal against a conviction or sentence in the Magistrates’ Court",113
"329","9.8 If the offender appeals to the Crown Court, you have the Right to be told by the Witness Care Unit within 1 working day of them receiving the information from the court, which will be within 5 working days of the outcome of the hearing:",240
"330","• that a notice of appeal has been made;",40
"331","• the date, time and location of any hearing; and",49
"332","• the outcome of the appeal, including any changes to the original sentence.",76
"333","9.9 If you wish to attend the appeal, you have the Right for court staff to arrange for you to:",95
"334","• wherever possible wait and be seated in court in an area separate from the offender and their family and friends;",115
"335","• be provided with a contact point at the Crown Court; and",58
"336","• receive information about services that support victims where appropriate and available.",90
"337","If an application is made to appeal against a conviction or sentence to the Court of Appeal, or an application or appeal is made to the UK Supreme Court in a criminal case on a point of law",189
"338","9.10 If the offender appeals to the Court of Appeal or UK Supreme Court, you have the Right to be told by the Witness Care Unit within 5 working days (1 working day under Enhanced Rights) of them receiving the information from the court, which will be within 5 working days of the outcome of the relevant hearing:",313
"339","• if the offender has been given permission to appeal against the conviction, sentence or point of law;",103
"340","• the date, time and location of any hearing, and any changes to this information (within 1 working day for all victims);",121
"341","• if the offender is to be released on bail pre-appeal or if the bail conditions have been changed (within 1 working day for all victims);",138
"342","• the name of a contact for the Criminal Appeal Office or UK Supreme Court staff;",81
"343","• the outcome of the appeal, including any changes to the original sentence, and",80
"344","• how to request a copy from the Criminal Appeal Office or UK Supreme Court staff of the court’s judgment in the case once it has been published.",145
"345","9.11 If you wish to attend the appeal, you have the Right for court staff or UK Supreme Court staff to arrange for:",115
"346","• wherever possible, to wait and be seated in court in an area separate from the offender and their family and friends; and",123
"347","• special arrangements to be made for you if the offender is present and you do not wish to sit in the courtroom (it is rare for the offender to attend hearings in the Supreme Court).",183
"348","9.12 Following a decision to give the offender permission to appeal, if you are a bereaved close relative, you have the Right to be offered a meeting with the Crown Prosecution Service to explain the nature of the appeal and the court processes.",245
"349","9.13 In determining an appeal against a sentence, the court will always take into account any Victim Personal Statement that was considered by the sentencing court.",164
"350","9.14 It is not normally necessary for a further personal statement to be provided to the Court of Appeal. However, if there is information that the court should know about the continuing impact the crime has had on you, a new or further Victim Personal Statement may be sent to the Court through the police or the Crown Prosecution Service.",340
"351","Criminal Cases Review Commission",32
"352","9.15 The Criminal Cases Review Commission investigates alleged miscarriages of criminal justice in England, Wales and Northern Ireland. An offender can apply to the Commission to review their convictions and/or sentence if there is some new information or new argument which might mean the conviction is unsafe or the sentence too long.",336
"353","9.16 The Commission, when reviewing a case, will assess the potential impact on you and decide if you should be notified.",121
"354","9.17 The Commission will not usually try to contact you just because they have received an application. This is because most reviews will not lead to a referral to the Court of Appeal, and therefore there is no need to warn you that the offender has applied. However, the Commission will tell you if they think there is a reasonable chance that you may find out that they are looking at a case though the media or through another source. The Commission will usually work with the police to notify you of an application and will contact you again when a decision has been made on whether they refer the case.",607
"355","9.18 If the Commission decides that it is not appropriate to contact you during the review, but subsequently decides to refer the conviction or sentence to the courts, the Commission will try their best to contact you before the case is referred for an appeal.",260
"356","Right 10: To be paid expenses and have property returned",56
"357","10.1 If you attend court[footnote 41] to give evidence, you have the Right to claim certain expenses from the Crown Prosecution Service,[footnote 42] for example, for travel, child care, loss of earnings, refreshments and meals (further details are available on the Crown Prosecution Service website at: www.cps.gov.uk). The Witness Care Unit will be able to help if you have any questions about claiming expenses.",414
"358","10.2 The Crown Prosecution Service will pay any expenses due to you within 10 working days of receiving a correctly completed claim form.",137
"359","10.3 If the police took any of your property as evidence, you have the Right to get it back as soon as it is no longer required. The police will be able to help if you have any questions about the return of your property.",221
"360","Right 11: To be given information about the offender following a conviction",75
"361","11.1 If you are the victim or a bereaved family relative and the offender was convicted of a specified violent or sexual offence,43 and sentenced to 12 months or more in prison44 (or detained in a hospital for treatment under the Mental Health Act 1983 with or without a restriction order45), you have the Right to be automatically referred within 10 working days of sentencing to the National Probation Service Victim Contact Scheme and be assigned a Victim Liaison Officer. The Victim Liaison Officer will contact you within 20 working days of the referral.",559
"362","11.2 Where you choose to receive the Victims Contact Scheme, you are entitled to receive information at key stages of the offender’s sentence (see 11.3). You may opt-out and opt back in to the Victims Contact Scheme at any time whilst the offender is serving their sentence/hospital order.",289
"363","11.3 The Victim Liaison Officer will tell you:",46
"364","• what the sentence of the court means in terms of the offender’s detention in prison or hospital, and if there are any changes to their sentence;",146
"365","• when an offender in prison becomes eligible to be considered for a transfer to open conditions;",97
"366","• if a prisoner moves to open conditions;",41
"367","• when an offender is being considered for release or for conditional discharge;",80
"368","• when the offender is released, or discharged from hospital, and if they are recalled to prisonor hospital;",108
"369","• how to make a Victim Personal Statement where it falls to the Parole Board to decide whether to direct the release of the offender from prison;",145
"370","• how to apply to read your Victim Personal Statement to the Parole Board, or have it read out on your behalf, or make a pre-recording in those cases where the Parole Board holds an oral hearing;",195
"371","• how to apply for licence/discharge conditions to reduce the chances of you encountering the offender in the community, or to prohibit them from contacting you;",161
"372","• about any licence/discharge conditions that relate to you and the date they will end or where a request to change or remove them has been made;",145
"373","• how to ask for a summary of the Parole Board’s decision and how to seek to make representations where the Parole Board decides the offender is safe to release;",161
"374","• if the offender escapes or absconds from custody;",51
"375","• how to ask for information should the offender be convicted of a most serious offence (see 11.18 – 11.19); and",112
"376","• how to make a reconsideration request (where eligible) (see 11.9 – 11.10).",76
"377","11.4 In addition to the statutory offences where the Victims Contact Scheme is offered, the National Probation Service will also offer victims access to the scheme where the offender is sentenced to 12 months or more in prison (or detained in a hospital for treatment under the Mental Health Act 1983 with or without a restriction order) for:",342
"378","• Causing Death by Careless or Inconsiderate Driving (Road Traffic Act 1988);",77
"379","• Causing Serious Injury by Dangerous Driving (Road Traffic Act 1988); or",73
"380","• Controlling or coercive behaviour in an intimate or family relationship (Serious Crime Act 2015).",99
"381","Victims of offenders who are under 18 years old",47
"382","11.5 If the offender in your case is under the age of 18 and you are not eligible for the Victims Contact Scheme, the Youth Offending Team may contact you directly. This is in cases where a young offender is sentenced to less than 12 months in custody, 12 months or more for a non-sexual or non-violent offence or a community-based order. A community-based order puts conditions on an offender serving a sentence in the community rather than prison.",449
"383","11.6 The Youth Offending Team may seek your views prior to sentencing and explore whether you want to get involved in any Restorative Justice initiatives (see Right 3), where appropriate and available.",201
"384","11.7 You have the Right to receive the following information from the Youth Offending Team:",91
"385","• information about the progress of the offender’s case upon request; and",73
"386","• information on appropriate services that support victims if you ask for additional support.",93
"387","11.8 The Parole Board[footnote 46] must:",40
"388","• consider all representations that victims have made about licence conditions; where a victim has requested a licence condition which has not been included, or has been amended, and provide an explanation for this non-inclusion or amendment;",242
"389","• read a Victim Personal Statement if one is submitted;",55
"390","• consider any application by the victim to be permitted to attend the hearing and read their Victim Personal Statement or have it read by someone else on their behalf;",168
"391","• unless there is a good reason for not doing so, agree to the statement being read at the hearing by the victim or someone else on their behalf; and",149
"392","• provide a summary of the parole decision upon application, unless there is a good reason for not doing so.[footnote 47]",121
"393","The Parole Board and Victim Personal Statements",47
"394","When can I make a Victim Personal Statement to the Parole Board?",64
"395","You can make a new Victim Personal Statement any time leading up to the parole review, but it must be submitted in good time in order for the Parole Board to read it. If there is to be a parole oral hearing the Victim Personal Statement should be submitted at least eight weeks in advance. A parole hearing is unlikely to be delayed to allow for a late Victim Personal Statement to be submitted.",395
"396","Can I change my mind or update my Victim Personal Statement?",60
"397","You can update your Victim Personal Statement or write a new one, but you will need to withdraw a previous version first. You can write a new statement for each parole review that may take place.",195
"398","Will the offender be able to see my Victim Personal Statement?",62
"399","The overriding principle is that the offender will see all information related to the parole review, unless in very exceptional circumstances the Parole Board agrees not to disclose it to the offender. This practice is consistent with the fundamental principles of our criminal justice system. However, if you do not wish the offender to read your statement you may ask your Victim Liaison Officer to apply for the statement to be withheld, under a non-disclosure application. There are rules about this which will need to be followed, including strict timeframes for making a request (eight weeks ahead of an oral hearing) and specific reasons for when information can be withheld, which are set out in the Parole Board Rules 2019. The final decision lies with the Parole Board. If the Board agrees not to disclose your Victim Personal Statement, the prisoner’s solicitor may still have sight of it, although he/she may be required not to disclose it to the prisoner. If you request non-disclosure and the Parole Board turns it down, you may withdraw your Victim Personal Statement.",1083
"400","Further questions or help recording your Victim Personal Statement",66
"401","If you have questions about making a Victim Personal Statement, how it will be used or what to include, you can speak to your Victim Liaison Officer. They can also help you to record your personal statement.",207
"402","Asking for a parole decision to be reviewed[footnote 48] (Reconsideration Mechanism)",84
"403","11.9 The Parole Board considers certain offenders for parole (release on licence) or re-release following recall and does so based on their risk of harm to the public.",167
"404","11.10 If the Parole Board decides it is safe to release an offender the decision is provisional for 2149 calendar days in the majority of cases (except standard determinate recalls[footnote 50]). The Secretary of State may ask the Parole Board to reconsider the decision during this period, if he has an arguable case that: - the correct process was not followed in the review of the offender for parole - for example, important evidence was not taken into account; or - the decision was irrational - the decision cannot be justified based on the evidence of risk that was considered.",584
"405","As a victim, you may submit a request to the Secretary of State asking that an application for reconsideration is made, if you believe that the decision meets either of these tests. Your request must be submitted within the 21-day provisional window. The Secretary of State will only do so where there is evidence the criteria is met. You will receive a letter informing you of whether the Secretary of State makes an application for reconsideration or not.",457
"406","Sexual Offender Notification Requirements Review Process",56
"407","11.11 Registered sex offenders are subject to ‘notification requirements’. This means they must tell the police about some of their personal details. The notification requirements are an automatic consequence of a conviction or caution, for a Schedule 3 offence under the Sexual Offences Act 2003, but the length of time an offender will be subject to the requirements will vary dependent upon the sentence they are given. A breach of the notification requirements is a criminal offence and is punishable by up to five years imprisonment.",538
"408","11.12 Offenders who are subject to notification requirements for life can apply to have this reviewed after a set period of time following their first notification, which usually takes place at release from prison. The set period of time is 15 years for adults and 8 years for juveniles. If the offender makes such an application, the police will then carry out a review, including a risk assessment to decide whether the offender’s notification requirements may be stopped. Sex offenders who are assessed as still being a risk will remain subject to notification requirements and will do so for life if necessary.",614
"409","11.13 If you are a victim of an offender who makes such an application, you have the Right to be contacted by the police to provide your views on the application as part their review. Your Victim Liaison Officer will provide you with further information about this process.",273
"410","11.14 If you have been a victim of a crime committed by a foreign national and the offender: - has received a prison sentence of 12 months or more, or a hospital order, for an offence against you; - was recommended by a court for deportation for an offence against you; or - was sentenced to a period in prison for a violent or sexual offence",342
"411","then you have the Right to receive information about the offender’s deportation. You can choose not to receive this information. The National Probation Service (Victim Liaison Officer and Offender Managers) must take all reasonable steps to work with the immigration authorities to ensure, as far as possible, that information about the prisoner’s immigration status and any deportation information is passed on to victims.",423
"412","11.15 If you have been the victim of a crime as set out in 11.14, your Victim Liaison Officer assigned by the Victims Contact Scheme (see 11.1) will be able to obtain updates from the Home Office on your behalf.",211
"413","11.16 If you are not eligible for the Victims Contact Scheme or have opted out of the scheme, but you meet the criteria (see 11.14) you have the Right to ask for updates regarding the immigration case of the Foreign National Offender directly from the Home Office’s Victim Support Team.",286
"414","11.17 The Home Office Victim Support Team can tell you: - whether the Home Office intends to take deportation action against the offender; - the final outcome of any appeal against deportation; - when the offender is going to be released from immigration detention; - when the offender has been deported; or - if the offender is not being deported and if possible, the reasons why.",381
"415","Serious Further Offence Reviews",31
"416","11.18 In the event that an offender commits a Serious Further Offence[footnote 51] while they are under statutory supervision by the provider of probation services, or shortly after this supervision has ended, the provider of probation services will carry out a Serious Further Offence Review, to investigate how the case was managed and whether or not there are any improvements that need to be made to manage future cases.",424
"417","11.19 In the most serious cases, providers of probation services will offer to share the findings of a Serious Further Offence Review with the victim or their families following conviction of the offender. If this occurs you have the Right to be contacted by your Victim Liaison Officer, to be asked whether you would like to meet with a senior manager from the provider of probation services to talk about the findings of the Serious Further Offence Review, and if you would like a copy of the report.",502
"418","Right 12: To make a complaint about your Rights not being met",61
"419","12.1 If you believe that you have not received any of your Rights under this Code, you can make a complaint. In the first instance, and if you feel comfortable doing so, you should discuss your complaint with the person you have been dealing with at the relevant service provider.",280
"420","12.2 If you remain unhappy, or if you do not feel comfortable discussing the complaint with the person you have been dealing with, you can make a complaint through the service provider’s internal complaints’ procedure.[footnote 52] They will provide you with information about their complaints procedure and respond within the timescales set out in this procedure.",364
"421","12.3 If you send your complaint to the wrong service provider or it needs to be dealt with by more than one service provider, they will let you know.",149
"422","12.4 If you are still not satisfied after you have finished the service provider’s complaints procedure, or they are taking too long to get back to you, you can ask your Member of Parliament to refer your complaint to the Parliamentary and Health Service Ombudsman. The Ombudsman will consider any complaints referred to them and, where appropriate, undertake an independent investigation.",389
"423","12.5 Further information about making a complaint to the Ombudsman can be found on their website at: www.ombudsman.org.uk or by calling their Customer Helpline on: 0345 015 4033 [footnote 53]",191
"424","• The Victims’ Code is issued by the Secretary of State for Justice under section 32 of the Domestic Violence, Crime and Victims Act 2004.↩",139
"425","• Legal persons (e.g. businesses or other enterprises such as charities) are not included within the definition of a victim. However, businesses and other enterprises such as charities can receive the services in this Code and make an impact statement where a criminal offence has been committed against them, subject to provision of a named point of contact to the relevant service provider. More information about how to make an Impact Statement for Business↩",461
"426","• For the purposes of this Code a ‘criminal offence’ means an offence that is committed, or subject to criminal proceedings, in England and Wales.↩",147
"427","• This normally refers to the spouse, the partner, the relatives in direct line, the siblings and the dependants of the victim. Other family members, including guardians and carers, may be considered close relatives at the discretion of the service provider.↩",259
"428","• Unless the parent or guardian is under investigation or has been charged by the police in connection with the crime or if, in the reasonable opinion of the service provider involved, it is not in the victim’s best interests for your parent or guardian to receive such services.↩",280
"429","• www.gov.uk/government/publications/the-witness-charter-standards-of-care-for-witnesses-in-the-criminal-justice-system↩",120
"430","• This refers to the spouse, the partner, the relatives in direct line, the siblings and the dependants of the victim. Other family members, including guardians and carers, may be considered close relatives at the discretion of the Foreign, Commonwealth & Development Office.↩",276
"431","• Available 24 hours a day, 7 days a week. If you are not in the United Kingdom, you can find the contact details of the nearest British embassy, high commission or consulate online↩",182
"432","• Her Majesty’s Prison and Probation Service must maintain a telephone helpline (the Victim Helpline) to ensure that victims have a number to ring if they receive unwanted contact from a prisoner.↩",197
"433","• Monday – Friday, 9.00am – 4.00pm.↩",36
"434","• This may include communication information under Rights 3, 4, 5, 6, 8, 9 and 11 of this Code.↩",96
"435","• www.gov.uk/contempt-of-court↩",31
"436","• www.nhs.uk/live-well/sexual-health/help-after-rape-and-sexual-assault/↩",73
